"","CCC","lower.ci","upper.ci"
"original_shape_Elongation",0.932181230289906,0.88999899779131,0.958542601073847
"original_shape_Flatness",0.793733027200588,0.519923549405098,0.919633786535833
"original_shape_LeastAxisLength",0.867980970205982,0.780158074879136,0.922252460436605
"original_shape_MajorAxisLength",0.973626341551011,0.947362084563763,0.986874094761705
"original_shape_Maximum2DDiameterColumn",0.985472189688005,0.972437516830916,0.992366445046594
"original_shape_Maximum2DDiameterRow",0.984660515298302,0.971162741776629,0.991866493395412
"original_shape_Maximum2DDiameterSlice",0.984011054836128,0.96723955211892,0.992230404103131
"original_shape_Maximum3DDiameter",0.986089284279575,0.974272040291817,0.992499309559076
"original_shape_MeshVolume",0.992847264843376,0.985792062238121,0.996405423546526
"original_shape_MinorAxisLength",0.980951825543178,0.961096693288993,0.990721412453928
"original_shape_Sphericity",0.846887160542617,0.714139687025537,0.920836455431504
"original_shape_SurfaceArea",0.987569671827221,0.975576495337363,0.993692395040352
"original_shape_SurfaceVolumeRatio",0.992963502975943,0.988232629699619,0.995796429422973
"original_shape_VoxelVolume",0.992902873492744,0.985903467672788,0.996433079528727
"original_firstorder_10Percentile",0.452427643445184,0.223960002426565,0.633760260352555
"original_firstorder_90Percentile",0.289143485916009,0.0308015439126973,0.511272731503181
"original_firstorder_Energy",0.888271813477523,0.777155641758202,0.94567611182216
"original_firstorder_Entropy",0.246961031124016,0.0822780023607035,0.398515817254406
"original_firstorder_InterquartileRange",0.553770669779636,0.23363214755251,0.765587850003195
"original_firstorder_Kurtosis",0.418138401072269,0.105194253540962,0.655728458096299
"original_firstorder_Maximum",0.307123258412479,0.0477855973099208,0.527669518572204
"original_firstorder_MeanAbsoluteDeviation",0.537102989905489,0.232647655596567,0.745684565512921
"original_firstorder_Mean",0.126317993119444,-0.0452817661032047,0.290676883613901
"original_firstorder_Median",0.131577041514019,-0.0369128749898362,0.292792906352792
"original_firstorder_Minimum",0.183804851950045,0.0970350649202179,0.267801674960892
"original_firstorder_Range",0.336645769994175,0.0714983371405254,0.557355616520429
"original_firstorder_RobustMeanAbsoluteDeviation",0.56983645768921,0.261118603114235,0.772804176325641
"original_firstorder_RootMeanSquared",0.168855770656525,-0.0276964830241585,0.352837285551181
"original_firstorder_Skewness",0.0650169837839303,-0.102559713607376,0.229005101716195
"original_firstorder_TotalEnergy",0.834672905569194,0.694910011949982,0.913670995001837
"original_firstorder_Uniformity",0.34755704758072,0.159692800020004,0.511126524995438
"original_firstorder_Variance",0.348231570937394,0.0778227605972521,0.570915031099655
"original_glcm_Autocorrelation",0.0244903688011149,-0.00205812285320634,0.0510043619031804
"original_glcm_ClusterProminence",0.0107916048190306,-0.00204299531004847,0.0236226501823175
"original_glcm_ClusterShade",0.0257768403852931,-0.00808473167249723,0.0595793645253401
"original_glcm_ClusterTendency",0.0569178253257047,0.00703054169282341,0.10652249089357
"original_glcm_Contrast",0.0336065425089107,-0.0054211230297624,0.0725319845523053
"original_glcm_Correlation",-0.100433685420263,-0.234554208901489,0.0374390376160612
"original_glcm_DifferenceAverage",0.0998672974219411,0.00326340111176201,0.19462442299404
"original_glcm_DifferenceEntropy",0.200824208616572,0.0501563457653848,0.342554730639659
"original_glcm_DifferenceVariance",0.032899738877411,-0.00120119683753314,0.0669242468680497
"original_glcm_Id",0.20106088405582,0.0480252924140065,0.344873554993835
"original_glcm_Idm",0.177827002127034,0.0447240316829071,0.304726557579924
"original_glcm_Idmn",0.453291961664037,0.0460320562911233,0.731342280674663
"original_glcm_Idn",0.415939633383923,0.0448798111215137,0.686144892045804
"original_glcm_Imc1",0.406418969874116,0.168471684543946,0.599608058064839
"original_glcm_Imc2",0.253128706919814,-0.106537906274136,0.554218464234228
"original_glcm_InverseVariance",0.193633786760573,0.0508038200419437,0.328701656004153
"original_glcm_JointAverage",0.0369339466948375,-0.00506730075390973,0.0788051095817791
"original_glcm_JointEnergy",0.1830500220994,0.0590617004550713,0.301476352980899
"original_glcm_JointEntropy",0.334296694787061,0.0978985523829854,0.534984496725425
"original_glcm_MCC",0.0172246379007108,-0.343923158345703,0.373933205894352
"original_glcm_MaximumProbability",0.172037288043348,0.0501505165627297,0.28887467120197
"original_glcm_SumAverage",0.0369339466948376,-0.00506730075390956,0.0788051095817789
"original_glcm_SumEntropy",0.277745787835961,0.102128461740862,0.436573644523336
"original_glcm_SumSquares",0.0498544919489669,0.00378776891546728,0.095710063327704
"original_glrlm_GrayLevelNonUniformity",0.509742536038691,0.311737671438177,0.665317705731904
"original_glrlm_GrayLevelNonUniformityNormalized",0.345240550654571,0.157146369350527,0.509164159378736
"original_glrlm_GrayLevelVariance",0.0501857184226054,0.00384348863027831,0.0963128490600108
"original_glrlm_HighGrayLevelRunEmphasis",0.0264619065887182,-0.0016058436870059,0.0544879962709471
"original_glrlm_LongRunEmphasis",0.132822948487303,0.0332218275488429,0.229811791957463
"original_glrlm_LongRunHighGrayLevelEmphasis",0.0207012655374152,-0.00360655578028569,0.0449846374626406
"original_glrlm_LongRunLowGrayLevelEmphasis",-0.00266665878846957,-0.0249725948255023,0.0196419312008289
"original_glrlm_LowGrayLevelRunEmphasis",-0.00062017112885676,-0.0305269050917409,0.0292876722535204
"original_glrlm_RunEntropy",0.2326270281036,0.0771396411475796,0.377067617386048
"original_glrlm_RunLengthNonUniformity",0.98732206853365,0.966085230725398,0.995292608091
"original_glrlm_RunLengthNonUniformityNormalized",0.153214259529287,0.0359953653588092,0.266274496213194
"original_glrlm_RunPercentage",0.144780569604779,0.0336893269837902,0.252337864167397
"original_glrlm_RunVariance",0.125361815532291,0.0296409152787476,0.218804336716626
"original_glrlm_ShortRunEmphasis",0.147745028191816,0.0369138423635464,0.25498575770641
"original_glrlm_ShortRunHighGrayLevelEmphasis",0.0275577195797959,-0.00125954932175961,0.0563292565971572
"original_glrlm_ShortRunLowGrayLevelEmphasis",-0.000252755569416681,-0.0321250739057324,0.0316200762960048
"original_glszm_GrayLevelNonUniformity",0.580285912828329,0.353160428057878,0.742818036253279
"original_glszm_GrayLevelNonUniformityNormalized",0.33455148267617,0.146506365451305,0.499260767207468
"original_glszm_GrayLevelVariance",0.0491327474524947,0.00299134949725435,0.095065377961949
"original_glszm_HighGrayLevelZoneEmphasis",0.027416464455534,-0.000818166800453333,0.0556074179979301
"original_glszm_LargeAreaEmphasis",0.104373823418201,0.0302464236201831,0.177359411269188
"original_glszm_LargeAreaHighGrayLevelEmphasis",-0.0215931445336786,-0.0443939436322901,0.00123013872242365
